날짜,종목코드,종목명,전략,구분,가격,수량,금액,수수료,사유,손익,손익률,보유일
2026-07-09,006400,삼성SDI,rsi2,BUY,414000.0,5,2070000.0,291.0,진입 (점수 72),0.0,0.0,0
2026-07-10,055550,신한지주,sepa,SELL,109200.0,23,2511600.0,5351.0,횡보 청산 (5일),38002.0,1.54,5
2026-07-10,105560,KB금융,sepa,SELL,184400.0,2,368800.0,786.0,1차 익절 +5.0%,15565.0,4.42,3
2026-07-10,006400,삼성SDI,rsi2,SELL,434000.0,1,434000.0,925.0,1차 익절 +5.0%,19017.0,4.59,2
2026-07-13,055550,신한지주,sepa,BUY,110800.0,23,2548400.0,358.0,진입 (점수 62),0.0,0.0,0
2026-07-13,086790,하나금융지주,sepa,SELL,132600.0,3,397800.0,848.0,1차 익절 +5.0%,15899.0,4.17,4
2026-07-13,006400,삼성SDI,rsi2,SELL,440000.0,1,440000.0,937.0,2차 익절 +15.0%,25004.0,6.04,3
2026-07-13,006400,삼성SDI,rsi2,SELL,440000.0,3,1320000.0,2812.0,"트레일링 (고점 481,500 대비 -4.5%)",75013.0,6.04,3
2026-07-14,000660,SK하이닉스,rsi2,BUY,1825000.0,1,1825000.0,256.0,진입 (점수 78),0.0,0.0,0
2026-07-14,005930,삼성전자,rsi2,BUY,255000.0,4,1020000.0,143.0,진입 (점수 66),0.0,0.0,0
2026-07-14,105560,KB금융,sepa,SELL,180000.0,11,1980000.0,4218.0,"트레일링 (고점 194,500 대비 -4.5%)",37309.0,1.92,5
2026-07-14,000660,SK하이닉스,rsi2,SELL,1679000.0,1,1679000.0,3577.0,손절 -8.0%,-149834.0,-8.21,1
2026-07-14,005930,삼성전자,rsi2,SELL,263000.0,1,263000.0,560.0,1차 익절 +5.0%,7404.0,2.9,1
2026-07-16,105560,KB금융,sepa,BUY,183700.0,13,2388100.0,336.0,진입 (점수 60),0.0,0.0,0
2026-07-16,005930,삼성전자,rsi2,SELL,255000.0,3,765000.0,1630.0,"트레일링 (고점 284,500 대비 -4.5%)",-1737.0,-0.23,3
2026-07-20,086790,하나금융지주,sepa,SELL,133400.0,16,2134400.0,4547.0,"트레일링 (고점 142,500 대비 -4.5%)",97567.0,4.8,8
2026-07-20,055550,신한지주,sepa,SELL,101936.0,23,2344528.0,4995.0,손절 -8.0%,-209225.0,-8.21,5
2026-07-20,105560,KB금융,sepa,SELL,169004.0,13,2197052.0,4681.0,손절 -8.0%,-196064.0,-8.21,2
2026-07-27,086790,하나금융지주,sepa,BUY,132500.0,18,2385000.0,335.0,진입 (점수 60),0.0,0.0,0
2026-07-28,086790,하나금융지주,sepa,SELL,121900.0,18,2194200.0,4675.0,손절 -8.0%,-195810.0,-8.21,2
2026-07-30,034730,SK,rsi2,BUY,482500.0,4,1930000.0,271.0,진입 (점수 88),0.0,0.0,0
2026-07-30,032830,삼성생명,rsi2,BUY,264000.0,8,2112000.0,297.0,진입 (점수 76),0.0,0.0,0
2026-07-30,000660,SK하이닉스,rsi2,BUY,1361000.0,1,1361000.0,191.0,진입 (점수 74),0.0,0.0,0
2026-07-30,005935,삼성전자우,rsi2,BUY,153900.0,15,2308500.0,324.0,진입 (점수 70),0.0,0.0,0
2026-07-30,034730,SK,rsi2,SELL,468500.0,1,468500.0,998.0,1차 익절 +5.0%,-15066.0,-3.12,1
2026-07-30,034730,SK,rsi2,SELL,468500.0,3,1405500.0,2994.0,"트레일링 (고점 508,000 대비 -4.5%)",-45198.0,-3.12,1
2026-07-30,032830,삼성생명,rsi2,SELL,264000.0,1,264000.0,562.0,1차 익절 +5.0%,-600.0,-0.23,1
2026-07-30,032830,삼성생명,rsi2,SELL,264000.0,7,1848000.0,3937.0,"트레일링 (고점 280,000 대비 -4.5%)",-4197.0,-0.23,1
2026-07-30,000660,SK하이닉스,rsi2,SELL,1322000.0,1,1322000.0,2817.0,1차 익절 +5.0%,-42008.0,-3.09,1
2026-07-30,005935,삼성전자우,rsi2,SELL,151000.0,3,453000.0,965.0,1차 익절 +5.0%,-9730.0,-2.11,1
2026-07-30,005935,삼성전자우,rsi2,SELL,151000.0,12,1812000.0,3861.0,"트레일링 (고점 165,400 대비 -4.5%)",-38920.0,-2.11,1
